Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0936627470380346,-0.154129463154546,-0.0659707737280333,0,0,0,1.16975996233982,0.00319132307591889,-4.00112324198597E-05,7.26869163674536E-05,0.00325484406490034,3.62955048080067E-05,0.001502137478636,0,0,0,0,0,0,package://xArm6/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/base_link.STL,,J1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.000209175736989198,-0.00733581258689134,0.0954443017499393,0,0,0,1.33591525787203,0.00399211482427041,-3.03775456718522E-06,7.69565465302257E-06,0.00332091245425406,0.000419607010180617,0.00219442299249464,0,0,0,0,0,0,package://xArm6/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link1.STL,,J2-1,Origin_Joint1,Axis_Joint1,Joint1,continuous,-0.0950052638154717,-0.154799999999999,0.00430489441764326,0,0,1.43213433048345,base_link,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link2,0.0268333691136011,0.0134509007386268,-0.164115113876491,0,0,0,2.7090241376033,0.0157342144212407,-0.000141545780118985,-0.000709570452020444,0.0151805132306586,0.0028280571245429,0.00436004806212644,0,0,0,0,0,0,package://xArm6/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link2.STL,,J3-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,-0.000348708865158642,0,0.123050259799748,-2.66605638337854,0,-1.57079632679003,Link1,1,0,0,100,1,-3.14,3.14,,,,,,,,
Link3,0.0629356183346029,-0.0809309699213208,-0.0373084533087664,0,0,0,1.31182405025004,0.00534983325153892,0.00133838501722422,-0.000916251542527123,0.00392783273420076,0.00163918566600629,0.00458915558021064,0,0,0,0,0,0,package://xArm6/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link3.STL,,J4-1,Origin_Joint3,Axis_Joint3,Joint3,continuous,0,0.0533127266833079,-0.284549107393278,-1.57079632679233,0.521446125248899,1.5707963268005,Link2,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link4,0.0321124334188259,-0.110952225227615,0.000175229937529886,0,0,0,0.797292825855709,0.00402946988716029,0.000918287667826143,-3.69055735061725E-06,0.00104706877921673,2.6606504001622E-06,0.00447054663111633,0,0,0,0,0,0,package://xArm6/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link4.STL,,J5-1,Origin_Joint4,Axis_Joint4,Joint4,continuous,0.0777618827761255,-0.159271435419226,0.00050223372598289,0,0.948420987105745,0,Link3,0,1,0,100,1,-3.14,3.14,,,,,,,,
Link5,-0.0485506595947383,-0.00846426793419547,-0.0110451182353022,0,0,0,0.728730152546307,0.00084458000127677,0.000271419674463532,-0.00022079258346174,0.0016831824862103,7.16082566344771E-05,0.00147023052645941,0,0,0,0,0,0,package://xArm6/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link5.STL,,J6-1,Origin_Joint5,Axis_Joint5,Joint5,continuous,0,-0.182928595834889,0,-3.14159265358979,0.234143566457157,1.57079632679489,Link4,0,1,0,100,1,-3.14,3.14,,,,,,,,
Link6,-0.00111028303596017,5.5497995088416E-11,-0.00737597316683991,0,0,0,0.118794195000553,4.8976937823378E-05,4.22464450236331E-14,8.0287253017776E-08,4.86080131072156E-05,3.7430555345757E-16,8.32022501882495E-05,0,0,0,0,0,0,package://xArm6/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://xArm6/meshes/Link6.STL,,Tool head-1,Origin_Joint6,Axis_Joint6,Joint6,continuous,-0.0759958129315771,0.000409014260114554,-0.0742622667357302,0,0,0.468241702882705,Link5,0,0,1,100,1,-3.14,3.14,,,,,,,,
Link_hand,0.0108757549073226,0.124741166066404,0.161319658571338,0,0,0,2.83290152531966E-05,2.62540491112562E-08,2.47264493328757E-10,-1.9361081287434E-10,3.26988842499012E-08,1.55586125321168E-09,5.638062971927E-08,0,0,0,0,0,0,package://xArm6/meshes/Link_hand.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://xArm6/meshes/Link_hand.STL,,hand_a-1,Origin_Joint_hand,Axis_Joint_hand,Joint_hand,fixed,0.105432520241981,-0.147231322687215,0.0423182588994168,-1.57079632679489,0,0.68064162880788,Link6,0,0,0,0,0,0,0,,,,,,,,
F1,0.0538199458700802,0.197400649092226,0.181271459660086,0,0,0,1.65930541619618E-05,5.21302866132841E-09,1.07354151222627E-09,3.84737092293857E-15,1.51223383610183E-09,2.64046893253968E-15,4.97035824216529E-09,0,0,0,0,0,0,package://xArm6/meshes/F1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://xArm6/meshes/F1.STL,,finger2-1,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,200,1,-0.04,0,,,,,,,,
F1_tip,-2.01505478969466E-14,-1.31110400314327E-14,0.000999999999993562,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://xArm6/meshes/F1_tip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xArm6/meshes/F1_tip.STL,,point-1,Origin_f1tipjoint2,,f1tipjoint,fixed,0.044185,0.20803,0.1808,-1.0694,-0.1455,-0.74288,F1,0,0,0,,,,,,,,,,,,
F2,-0.0521996930487667,0.197400594046205,0.180271454923837,0,0,0,1.65930974933192E-05,5.21304927687262E-09,-1.07358122867827E-09,-2.10568107225675E-15,1.51224658161208E-09,-1.03567597715E-16,4.97038623766166E-09,0,0,0,0,0,0,package://xArm6/meshes/F2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://xArm6/meshes/F2.STL,,finger1-1,Origin_Joint_j2,Axis_Joint_j2,Joint_j2,prismatic,0.01,0,0,0,0,0,Link_hand,1,0,0,200,1,0,0.04,,,,,,,,
F2_tip,-1.89848137210902E-14,-1.30347121984897E-14,0.00099999999999556,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://xArm6/meshes/F2_tip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xArm6/meshes/F2_tip.STL,,point-2,Origin_f2tipjoint2,Axis_f2tipjoint2,f2tipjoint,fixed,-0.0436483405664838,0.208026346920779,0.179795853442908,-1.06936376339417,-0.145496427867953,-0.742883227901366,F2,0,0,0,,,,,,,,,,,,
Grip_site,-3.21964677141295E-15,-5.53897205879395E-15,0.00100000000000755,0,0,0,4.18879020478639E-06,1.67551608191456E-12,0,0,1.67551608191456E-12,0,1.67551608191456E-12,0,0,0,0,0,0,package://xArm6/meshes/Grip_site.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xArm6/meshes/Grip_site.STL,,point-3,Origin_gripjoint2,Axis_gripjoint2,gripjoint,fixed,0.0101707523360044,0.212882654192949,0.180295853442957,-1.06936376339417,-0.145496427867957,-0.742883227901364,Link_hand,0,0,0,,,,,,,,,,,,
