"global_step","DRRandom_30-14-12-24 - _step","DRRandom_30-14-12-24 - _step__MIN","DRRandom_30-14-12-24 - _step__MAX","DRRandom_30-14-12-24 - episode_lengths/step","DRRandom_30-14-12-24 - episode_lengths/step__MIN","DRRandom_30-14-12-24 - episode_lengths/step__MAX"
"5","3","3","3","73.2259521484375","73.2259521484375","73.2259521484375"
"1638400","7","7","7","55.26566696166992","55.26566696166992","55.26566696166992"
"3276800","11","11","11","60.16613006591797","60.16613006591797","60.16613006591797"
"4915200","15","15","15","70.03802490234375","70.03802490234375","70.03802490234375"
"6553600","19","19","19","79.03462982177734","79.03462982177734","79.03462982177734"
"8192000","23","23","23","86.03240966796875","86.03240966796875","86.03240966796875"
"9830400","27","27","27","90.65802764892578","90.65802764892578","90.65802764892578"
"11468800","31","31","31","92.09781646728516","92.09781646728516","92.09781646728516"
"13107200","35","35","35","94.39663696289062","94.39663696289062","94.39663696289062"
"14745600","39","39","39","93.7631607055664","93.7631607055664","93.7631607055664"
"16384000","43","43","43","90.40886688232422","90.40886688232422","90.40886688232422"
"18022400","47","47","47","88.91542053222656","88.91542053222656","88.91542053222656"
"19660800","51","51","51","86.2608642578125","86.2608642578125","86.2608642578125"
"21299200","55","55","55","86.75355529785156","86.75355529785156","86.75355529785156"
"22937600","59","59","59","86.3201904296875","86.3201904296875","86.3201904296875"
"24576000","63","63","63","87.08451080322266","87.08451080322266","87.08451080322266"
"26214400","67","67","67","88.92105102539062","88.92105102539062","88.92105102539062"
"27852800","71","71","71","86.10293579101562","86.10293579101562","86.10293579101562"
"29491200","75","75","75","87.78324890136719","87.78324890136719","87.78324890136719"
"31129600","79","79","79","89.0646743774414","89.0646743774414","89.0646743774414"
"32768000","83","83","83","89.42161560058594","89.42161560058594","89.42161560058594"
"34406400","87","87","87","88.65217590332031","88.65217590332031","88.65217590332031"
"36044800","91","91","91","83.40361022949219","83.40361022949219","83.40361022949219"
"37683200","95","95","95","83.15818786621094","83.15818786621094","83.15818786621094"
"39321600","99","99","99","83.69490814208984","83.69490814208984","83.69490814208984"
"40960000","103","103","103","82.32984161376953","82.32984161376953","82.32984161376953"
"42598400","107","107","107","79.75845336914062","79.75845336914062","79.75845336914062"
"44236800","111","111","111","79.94886779785156","79.94886779785156","79.94886779785156"
"45875200","115","115","115","78.79473114013672","78.79473114013672","78.79473114013672"
"47513600","119","119","119","79.12765502929688","79.12765502929688","79.12765502929688"
"49152000","123","123","123","77.3465347290039","77.3465347290039","77.3465347290039"
"50790400","127","127","127","77.17098236083984","77.17098236083984","77.17098236083984"
"52428800","131","131","131","75.84834289550781","75.84834289550781","75.84834289550781"
"54067200","135","135","135","76.52153015136719","76.52153015136719","76.52153015136719"
"55705600","139","139","139","76.37281036376953","76.37281036376953","76.37281036376953"
"57344000","143","143","143","74.5140151977539","74.5140151977539","74.5140151977539"
"58982400","147","147","147","76.48661041259766","76.48661041259766","76.48661041259766"
"60620800","151","151","151","73.1066665649414","73.1066665649414","73.1066665649414"
"62259200","155","155","155","72.65865325927734","72.65865325927734","72.65865325927734"
"63897600","159","159","159","70.23477935791016","70.23477935791016","70.23477935791016"
"65536000","163","163","163","72.10047912597656","72.10047912597656","72.10047912597656"
"67174400","167","167","167","69.37345123291016","69.37345123291016","69.37345123291016"
"68812800","171","171","171","69.71244812011719","69.71244812011719","69.71244812011719"
"70451200","175","175","175","69.90234375","69.90234375","69.90234375"
"72089600","179","179","179","69.5703125","69.5703125","69.5703125"
"73728000","183","183","183","69.75330352783203","69.75330352783203","69.75330352783203"
"75366400","187","187","187","69.69709777832031","69.69709777832031","69.69709777832031"
"77004800","191","191","191","68.37712097167969","68.37712097167969","68.37712097167969"
"78643200","195","195","195","68.75113677978516","68.75113677978516","68.75113677978516"
"80281600","199","199","199","67.35775756835938","67.35775756835938","67.35775756835938"
"81920000","203","203","203","68.62692260742188","68.62692260742188","68.62692260742188"
"83558400","207","207","207","67.27125549316406","67.27125549316406","67.27125549316406"
"85196800","211","211","211","65.46414947509766","65.46414947509766","65.46414947509766"
"86835200","215","215","215","65.37890625","65.37890625","65.37890625"
"88473600","219","219","219","67.10256958007812","67.10256958007812","67.10256958007812"
"90112000","223","223","223","64.84716033935547","64.84716033935547","64.84716033935547"
"91750400","227","227","227","66.06121826171875","66.06121826171875","66.06121826171875"
"93388800","231","231","231","63.67059326171875","63.67059326171875","63.67059326171875"
"95027200","235","235","235","64.23773956298828","64.23773956298828","64.23773956298828"
"96665600","239","239","239","64.86776733398438","64.86776733398438","64.86776733398438"
"98304000","243","243","243","64.69403076171875","64.69403076171875","64.69403076171875"
"99942400","247","247","247","62.67354965209961","62.67354965209961","62.67354965209961"
"101580800","251","251","251","62.622074127197266","62.622074127197266","62.622074127197266"
"103219200","255","255","255","62.8876838684082","62.8876838684082","62.8876838684082"
"104857600","259","259","259","64.2298812866211","64.2298812866211","64.2298812866211"
"106496000","263","263","263","63.542015075683594","63.542015075683594","63.542015075683594"
"108134400","267","267","267","61.66898727416992","61.66898727416992","61.66898727416992"
"109772800","271","271","271","61.10646438598633","61.10646438598633","61.10646438598633"
"111411200","275","275","275","61.18292236328125","61.18292236328125","61.18292236328125"
"113049600","279","279","279","60.793357849121094","60.793357849121094","60.793357849121094"
"114688000","283","283","283","59.69083786010742","59.69083786010742","59.69083786010742"
"116326400","287","287","287","59.935482025146484","59.935482025146484","59.935482025146484"
"117964800","291","291","291","59.53633117675781","59.53633117675781","59.53633117675781"
"119603200","295","295","295","59.59921646118164","59.59921646118164","59.59921646118164"
"121241600","299","299","299","59.29372787475586","59.29372787475586","59.29372787475586"
"122880000","303","303","303","58.3277587890625","58.3277587890625","58.3277587890625"
"124518400","307","307","307","58.45614242553711","58.45614242553711","58.45614242553711"
"126156800","311","311","311","58.25267028808594","58.25267028808594","58.25267028808594"
"127795200","315","315","315","58.18411636352539","58.18411636352539","58.18411636352539"
"129433600","319","319","319","57.2491340637207","57.2491340637207","57.2491340637207"
"131072000","323","323","323","57.33669662475586","57.33669662475586","57.33669662475586"
"132710400","327","327","327","57.33012390136719","57.33012390136719","57.33012390136719"
"134348800","331","331","331","57.62908935546875","57.62908935546875","57.62908935546875"
"135987200","335","335","335","56.94055938720703","56.94055938720703","56.94055938720703"
"137625600","339","339","339","57.03666305541992","57.03666305541992","57.03666305541992"
"139264000","343","343","343","58.40892028808594","58.40892028808594","58.40892028808594"
"140902400","347","347","347","57.251747131347656","57.251747131347656","57.251747131347656"
"142540800","351","351","351","57.56794357299805","57.56794357299805","57.56794357299805"
"144179200","355","355","355","56.36754608154297","56.36754608154297","56.36754608154297"
"145817600","359","359","359","56.89902114868164","56.89902114868164","56.89902114868164"
"147456000","363","363","363","55.528236389160156","55.528236389160156","55.528236389160156"
"149094400","367","367","367","55.97965621948242","55.97965621948242","55.97965621948242"
"150732800","371","371","371","56.02173614501953","56.02173614501953","56.02173614501953"
"152371200","375","375","375","55.98999786376953","55.98999786376953","55.98999786376953"
"154009600","379","379","379","55.87947463989258","55.87947463989258","55.87947463989258"
"155648000","383","383","383","56.03873062133789","56.03873062133789","56.03873062133789"
"157286400","387","387","387","55.887718200683594","55.887718200683594","55.887718200683594"
"158924800","391","391","391","54.544822692871094","54.544822692871094","54.544822692871094"
"160563200","395","395","395","55.37275695800781","55.37275695800781","55.37275695800781"
"162201600","399","399","399","54.9360237121582","54.9360237121582","54.9360237121582"
"163840000","403","403","403","54.241790771484375","54.241790771484375","54.241790771484375"
"165478400","407","407","407","53.8125","53.8125","53.8125"
"167116800","411","411","411","53.64307403564453","53.64307403564453","53.64307403564453"
"168755200","415","415","415","54.05413818359375","54.05413818359375","54.05413818359375"
"170393600","419","419","419","53.06666564941406","53.06666564941406","53.06666564941406"
"172032000","423","423","423","54.12933349609375","54.12933349609375","54.12933349609375"
"173670400","427","427","427","53.363914489746094","53.363914489746094","53.363914489746094"
"175308800","431","431","431","53.88349533081055","53.88349533081055","53.88349533081055"
"176947200","435","435","435","53.616127014160156","53.616127014160156","53.616127014160156"
"178585600","439","439","439","53.4781379699707","53.4781379699707","53.4781379699707"
"180224000","443","443","443","52.83061218261719","52.83061218261719","52.83061218261719"
"181862400","447","447","447","52.9905891418457","52.9905891418457","52.9905891418457"
"183500800","451","451","451","53.34294891357422","53.34294891357422","53.34294891357422"
"185139200","455","455","455","52.91695785522461","52.91695785522461","52.91695785522461"
"186777600","459","459","459","51.53973388671875","51.53973388671875","51.53973388671875"
"188416000","463","463","463","52.86435317993164","52.86435317993164","52.86435317993164"
"190054400","467","467","467","52.14714813232422","52.14714813232422","52.14714813232422"
"191692800","471","471","471","52.54629135131836","52.54629135131836","52.54629135131836"
"193331200","475","475","475","52.140625","52.140625","52.140625"
"194969600","479","479","479","52.1446533203125","52.1446533203125","52.1446533203125"
"196608000","483","483","483","52.090633392333984","52.090633392333984","52.090633392333984"
"198246400","487","487","487","52.179813385009766","52.179813385009766","52.179813385009766"
"199884800","491","491","491","51.175437927246094","51.175437927246094","51.175437927246094"
"201523200","495","495","495","51.74534225463867","51.74534225463867","51.74534225463867"
"203161600","499","499","499","51.06148910522461","51.06148910522461","51.06148910522461"
"204800000","503","503","503","51.99074172973633","51.99074172973633","51.99074172973633"
"206438400","507","507","507","51.89329147338867","51.89329147338867","51.89329147338867"
"208076800","511","511","511","50.51334762573242","50.51334762573242","50.51334762573242"
"209715200","515","515","515","50.297122955322266","50.297122955322266","50.297122955322266"
"211353600","519","519","519","50.17133712768555","50.17133712768555","50.17133712768555"
"212992000","523","523","523","50.80644989013672","50.80644989013672","50.80644989013672"
"214630400","527","527","527","51.15658950805664","51.15658950805664","51.15658950805664"
"216268800","531","531","531","50.83713150024414","50.83713150024414","50.83713150024414"
"217907200","535","535","535","50.18012619018555","50.18012619018555","50.18012619018555"
"219545600","539","539","539","49.24534225463867","49.24534225463867","49.24534225463867"
"221184000","543","543","543","49.288230895996094","49.288230895996094","49.288230895996094"
"222822400","547","547","547","49.34590530395508","49.34590530395508","49.34590530395508"
"224460800","551","551","551","50.47230529785156","50.47230529785156","50.47230529785156"
"226099200","555","555","555","49.4588623046875","49.4588623046875","49.4588623046875"
"227737600","559","559","559","50.04985427856445","50.04985427856445","50.04985427856445"
"229376000","563","563","563","50.64847946166992","50.64847946166992","50.64847946166992"
"231014400","567","567","567","49.56626510620117","49.56626510620117","49.56626510620117"
"232652800","571","571","571","49.307186126708984","49.307186126708984","49.307186126708984"
"234291200","575","575","575","48.80516052246094","48.80516052246094","48.80516052246094"
"235929600","579","579","579","49.97522735595703","49.97522735595703","49.97522735595703"
"237568000","583","583","583","47.92452621459961","47.92452621459961","47.92452621459961"
"239206400","587","587","587","48.69781494140625","48.69781494140625","48.69781494140625"
"240844800","591","591","591","49.050559997558594","49.050559997558594","49.050559997558594"
"242483200","595","595","595","48.47431945800781","48.47431945800781","48.47431945800781"
"244121600","599","599","599","49.24793243408203","49.24793243408203","49.24793243408203"